timestamp,log_type,message
16.54223,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.5536,Log,Hit Blackzone
16.5536,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.5649,Log,Hit Blackzone
16.5649,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.57554,Log,Hit Blackzone
16.57554,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.58696,Log,Hit Blackzone
16.58696,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.59801,Log,Hit Blackzone
16.59801,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.60908,Log,Hit Blackzone
16.60908,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.62014,Log,Hit Blackzone
16.62014,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.63161,Log,Hit Blackzone
16.63161,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.64267,Log,Hit Blackzone
16.64267,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.65437,Log,Hit Blackzone
16.65437,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.66527,Log,Hit Blackzone
16.66527,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.67605,Log,Hit Blackzone
16.67605,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.68888,Log,Hit Blackzone
16.68888,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.69841,Log,Hit Blackzone
16.69841,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.7095,Log,Hit Blackzone
16.7095,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.72118,Log,Hit Blackzone
16.72118,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.73207,Log,Hit Blackzone
16.73207,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
